Elevation,Slope,Aspect,Profile_curvature,Plan_Curvature,Vegetation,Lithology,Tmax,Tmin,Wind,Humidity,Solar,PrecipAcum3,PrecipAcum5,PrecipAcum7,PrecipAcum10,PrecipAcum15,PrecipAcum20,PrecipAcum30,Landslide
2760.20,5.34,22.49,-0.0002,-0.0029,1,1,27.47,20.17,1.0722,0.9135,18.99,38.10,63.78,89.59,128.69,194.86,260.55,391.87,1
2762.00,1.80,49.95,-0.0023,-0.0037,1,1,27.47,20.17,1.0722,0.9135,18.99,38.10,63.78,89.59,128.69,194.86,260.55,391.87,1
2762.00,2.40,27.16,-0.0006,-0.0035,1,1,27.47,20.17,1.0722,0.9135,18.99,38.10,63.78,89.59,128.69,194.86,260.54,391.86,1
2761.49,4.07,41.50,-0.0005,-0.0009,1,1,27.47,20.17,1.0722,0.9135,18.99,38.10,63.78,89.59,128.69,194.85,260.54,391.86,1
2761.65,1.84,0.18,-0.0022,-0.0039,1,1,27.47,20.17,1.0723,0.9135,18.99,38.09,63.78,89.59,128.69,194.85,260.54,391.86,1
2763.00,8.95,26.92,-0.0011,-0.0018,1,1,27.47,20.17,1.0723,0.9135,18.99,38.09,63.78,89.59,128.68,194.85,260.53,391.84,1
2761.55,4.13,40.02,-0.0008,-0.0032,1,1,27.47,20.17,1.0723,0.9135,18.99,38.09,63.78,89.59,128.68,194.84,260.52,391.83,1
2761.54,1.54,352.87,-0.0002,-0.0035,1,1,27.47,20.17,1.0724,0.9135,18.99,38.09,63.78,89.58,128.68,194.84,260.52,391.83,1
2761.86,1.93,2.19,0.0003,-0.0033,1,1,27.47,20.17,1.0724,0.9135,18.99,38.09,63.78,89.58,128.68,194.84,260.52,391.82,1
2763.04,14.45,359.74,0.0010,-0.0037,1,1,27.47,20.17,1.0724,0.9135,18.99,38.09,63.77,89.58,128.68,194.84,260.52,391.82,1
2763.05,14.18,359.35,0.0004,-0.0034,1,1,27.47,20.17,1.0724,0.9135,18.99,38.09,63.77,89.58,128.67,194.83,260.51,391.82,1
1919.91,30.68,240.71,-0.0033,-0.0140,1,1,27.63,20.47,1.0287,0.9186,18.23,39.40,65.93,92.53,132.74,200.71,268.31,402.97,1
1917.56,23.82,235.86,-0.0032,-0.0152,1,1,27.63,20.47,1.0288,0.9186,18.23,39.40,65.93,92.53,132.74,200.70,268.30,402.96,1
1914.84,24.01,232.05,-0.0047,-0.0158,1,1,27.63,20.47,1.0289,0.9185,18.24,39.40,65.92,92.53,132.73,200.69,268.29,402.94,1
1906.93,22.32,233.20,-0.0012,-0.0092,1,1,27.63,20.47,1.0290,0.9185,18.24,39.40,65.92,92.52,132.73,200.68,268.28,402.93,1
1902.07,16.11,230.57,-0.0003,-0.0001,1,1,27.63,20.47,1.0291,0.9185,18.24,39.40,65.92,92.52,132.72,200.68,268.27,402.91,1
1936.99,49.11,241.88,-0.0025,-0.0130,1,1,27.63,20.47,1.0285,0.9186,18.23,39.41,65.93,92.54,132.75,200.72,268.33,403.00,1
1926.35,41.45,242.05,-0.0014,-0.0113,1,1,27.63,20.47,1.0286,0.9186,18.23,39.41,65.93,92.54,132.75,200.71,268.32,402.99,1
1349.76,40.83,140.91,-0.0054,-0.0209,1,1,27.74,20.70,0.9936,0.9227,17.61,40.58,67.86,95.19,136.42,206.04,275.39,413.16,1
1336.45,32.58,141.38,-0.0007,-0.0066,1,1,27.74,20.70,0.9937,0.9227,17.61,40.58,67.86,95.18,136.40,206.02,275.36,413.11,1
1350.72,43.47,126.75,-0.0059,-0.0229,1,1,27.74,20.70,0.9936,0.9227,17.61,40.59,67.87,95.20,136.43,206.07,275.42,413.21,1
1334.87,30.41,137.71,-0.0012,-0.0084,1,1,27.74,20.70,0.9937,0.9227,17.61,40.58,67.86,95.19,136.42,206.04,275.39,413.16,1
1333.90,7.67,297.71,-0.0049,-0.0014,1,1,27.74,20.70,0.9938,0.9227,17.62,40.58,67.85,95.18,136.40,206.02,275.36,413.11,1
1336.55,37.41,128.64,-0.0008,-0.0086,1,1,27.74,20.70,0.9937,0.9227,17.61,40.59,67.87,95.20,136.43,206.06,275.42,413.20,1
1329.70,2.18,219.97,-0.0023,-0.0061,1,1,27.74,20.70,0.9938,0.9226,17.62,40.58,67.86,95.19,136.42,206.04,275.39,413.16,1
1336.73,35.17,301.90,-0.0011,-0.0033,1,1,27.74,20.70,0.9938,0.9226,17.62,40.58,67.85,95.18,136.40,206.01,275.36,413.11,1
1360.04,40.95,305.30,-0.0005,-0.0020,1,1,27.74,20.70,0.9939,0.9226,17.62,40.57,67.85,95.17,136.38,205.99,275.32,413.06,1
1329.90,7.47,155.98,-0.0036,-0.0056,1,1,27.74,20.70,0.9937,0.9226,17.62,40.59,67.87,95.20,136.43,206.06,275.42,413.20,1
1334.76,31.98,311.85,0.0000,-0.0025,1,1,27.74,20.70,0.9938,0.9226,17.62,40.58,67.86,95.19,136.42,206.04,275.39,413.15,1
1350.27,41.95,308.56,-0.0010,-0.0026,1,1,27.74,20.70,0.9939,0.9226,17.62,40.58,67.85,95.18,136.40,206.01,275.35,413.11,1
1365.81,30.43,303.04,0.0000,-0.0013,1,1,27.74,20.70,0.9940,0.9226,17.62,40.57,67.84,95.17,136.38,205.99,275.32,413.06,1
1332.92,28.87,298.96,-0.0007,-0.0030,1,1,27.74,20.70,0.9938,0.9226,17.62,40.59,67.87,95.20,136.43,206.06,275.42,413.20,1
1350.00,42.51,306.18,-0.0012,-0.0027,1,1,27.74,20.70,0.9939,0.9226,17.62,40.58,67.86,95.19,136.41,206.04,275.38,413.15,1
1366.42,34.26,313.16,0.0002,-0.0020,1,1,27.74,20.70,0.9940,0.9226,17.62,40.58,67.85,95.18,136.40,206.01,275.35,413.10,1
1370.03,16.50,316.03,-0.0011,-0.0062,1,1,27.74,20.70,0.9941,0.9226,17.62,40.57,67.84,95.17,136.38,205.99,275.32,413.06,1
1363.12,38.87,304.24,-0.0005,-0.0038,1,1,27.74,20.70,0.9940,0.9226,17.62,40.58,67.86,95.19,136.41,206.04,275.38,413.15,1
1370.52,17.94,309.75,-0.0026,-0.0110,1,1,27.74,20.70,0.9941,0.9226,17.62,40.58,67.85,95.18,136.40,206.01,275.35,413.10,1
1371.51,6.30,317.27,-0.0066,-0.0241,1,1,27.74,20.70,0.9941,0.9226,17.62,40.57,67.84,95.16,136.38,205.99,275.32,413.05,1
1426.36,72.18,23.96,-0.0181,-0.0379,1,1,27.73,20.69,0.9955,0.9225,17.64,40.49,67.71,94.98,136.11,205.59,274.79,412.30,1
1403.07,69.13,17.65,-0.0163,-0.0478,1,1,27.73,20.69,0.9956,0.9225,17.65,40.48,67.70,94.96,136.10,205.57,274.76,412.25,1
1390.68,65.07,14.52,-0.0125,-0.0576,1,1,27.73,20.69,0.9956,0.9225,17.65,40.48,67.69,94.95,136.08,205.54,274.73,412.21,1
1369.97,24.96,310.10,-0.0035,-0.0141,1,1,27.74,20.70,0.9940,0.9226,17.62,40.58,67.86,95.19,136.41,206.03,275.38,413.14,1
1524.96,70.94,21.83,-0.0066,-0.0009,1,1,27.73,20.69,0.9955,0.9225,17.64,40.49,67.71,94.99,136.13,205.62,274.83,412.34,1
1500.54,74.02,19.36,-0.0102,-0.0139,1,1,27.73,20.69,0.9955,0.9225,17.65,40.49,67.71,94.97,136.11,205.59,274.79,412.30,1
1475.00,74.90,15.02,-0.0101,-0.0245,1,1,27.73,20.69,0.9956,0.9225,17.65,40.48,67.70,94.96,136.10,205.57,274.76,412.25,1
1455.27,74.79,12.18,-0.0099,-0.0337,1,1,27.73,20.69,0.9957,0.9225,17.65,40.48,67.69,94.95,136.08,205.54,274.73,412.20,1
1436.76,74.23,11.67,-0.0080,-0.0408,1,1,27.73,20.69,0.9958,0.9225,17.65,40.47,67.68,94.94,136.06,205.52,274.70,412.16,1
1419.62,73.09,10.76,-0.0058,-0.0488,1,1,27.73,20.69,0.9959,0.9224,17.65,40.47,67.67,94.93,136.05,205.49,274.66,412.11,1
1407.87,71.43,9.13,-0.0041,-0.0557,1,1,27.73,20.69,0.9960,0.9224,17.65,40.46,67.66,94.92,136.03,205.47,274.63,412.07,1
1572.78,68.17,10.75,0.0037,0.0234,1,1,27.73,20.69,0.9955,0.9225,17.65,40.49,67.71,94.99,136.13,205.61,274.82,412.34,1
1562.93,71.66,12.85,-0.0003,0.0201,1,1,27.73,20.69,0.9956,0.9225,17.65,40.49,67.70,94.97,136.11,205.59,274.79,412.30,1
1548.67,73.89,11.96,-0.0032,0.0107,1,1,27.73,20.69,0.9957,0.9225,17.65,40.48,67.70,94.96,136.10,205.57,274.76,412.25,1
1535.50,75.17,10.29,-0.0054,0.0003,1,1,27.73,20.69,0.9958,0.9224,17.65,40.48,67.69,94.95,136.08,205.54,274.73,412.20,1
1522.00,76.03,10.04,-0.0055,-0.0084,1,1,27.73,20.69,0.9959,0.9224,17.65,40.47,67.68,94.94,136.06,205.52,274.69,412.16,1
1506.59,76.51,9.95,-0.0038,-0.0157,1,1,27.73,20.69,0.9960,0.9224,17.65,40.47,67.67,94.93,136.05,205.49,274.66,412.11,1
1490.13,76.51,8.88,-0.0031,-0.0214,1,1,27.73,20.68,0.9960,0.9224,17.65,40.46,67.66,94.92,136.03,205.47,274.63,412.06,1
1618.91,64.97,6.87,0.0037,0.0457,1,1,27.73,20.69,0.9957,0.9225,17.65,40.49,67.70,94.97,136.11,205.59,274.79,412.29,1
1612.36,67.99,8.51,0.0026,0.0447,1,1,27.73,20.69,0.9958,0.9224,17.65,40.48,67.70,94.96,136.09,205.56,274.76,412.24,1
1604.23,70.17,8.29,0.0004,0.0398,1,1,27.73,20.69,0.9959,0.9224,17.65,40.48,67.69,94.95,136.08,205.54,274.72,412.20,1
1595.99,71.87,8.62,-0.0017,0.0328,1,1,27.73,20.69,0.9959,0.9224,17.65,40.47,67.68,94.94,136.06,205.52,274.69,412.15,1
1585.60,73.34,9.28,-0.0002,0.0265,1,1,27.73,20.68,0.9960,0.9224,17.65,40.47,67.67,94.93,136.04,205.49,274.66,412.11,1
1573.38,74.48,8.75,-0.0014,0.0194,1,1,27.73,20.68,0.9961,0.9224,17.66,40.46,67.66,94.91,136.03,205.47,274.63,412.06,1
1562.07,75.29,7.57,-0.0008,0.0137,1,1,27.73,20.68,0.9962,0.9224,17.66,40.45,67.65,94.90,136.01,205.44,274.60,412.01,1
1645.56,56.26,6.07,0.0045,0.0590,1,1,27.73,20.69,0.9959,0.9224,17.65,40.47,67.69,94.95,136.08,205.54,274.72,412.20,1
1642.52,59.77,7.03,0.0027,0.0610,1,1,27.73,20.68,0.9960,0.9224,17.65,40.47,67.68,94.94,136.06,205.51,274.69,412.15,1
1638.49,62.94,8.04,0.0025,0.0599,1,1,27.73,20.68,0.9961,0.9224,17.66,40.46,67.67,94.92,136.04,205.49,274.66,412.10,1
1633.37,65.64,7.83,0.0016,0.0579,1,1,27.73,20.68,0.9962,0.9224,17.66,40.46,67.66,94.91,136.03,205.47,274.63,412.06,1
1503.69,72.75,37.74,-0.0126,-0.0099,1,1,27.72,20.67,0.9989,0.9221,17.70,40.33,67.44,94.61,135.60,204.84,273.79,410.85,1
1459.47,72.81,32.57,-0.0157,-0.0246,1,1,27.72,20.67,0.9990,0.9221,17.70,40.32,67.43,94.60,135.58,204.81,273.76,410.81,1
1423.12,70.42,27.74,-0.0145,-0.0372,1,1,27.72,20.67,0.9991,0.9221,17.71,40.32,67.42,94.58,135.57,204.79,273.73,410.76,1
